Species;Family;Region;Continent;Realm;First_Observation;IntentionalRelease;Latest_Reference;Latest_Reference_Year
Crocidosema plebejana;Tortricidae;Italy;Europe;Palearctic;1847;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Crocidosema plebejana;Tortricidae;Japan;Asia;Oriental;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Japan;Asia;Sino-Japanese;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Kenya;Africa;Afrotropical;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Cambodia;Asia;Oriental;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Sri Lanka;Asia;Oriental;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Mexico;North America;Nearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Netherlands;Europe;Palearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;New Zealand;Oceania;Australian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Philippines;Asia;Oriental;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Madeira;Africa;Palearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Sudan;Africa;Afrotropical;;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Crocidosema plebejana;Tortricidae;Solomon Islands;Oceania;Oceanina;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Sao Tome and Principe;Africa;Afrotropical;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Seychelles;Africa;Oceanina;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Syria;Asia;Saharo-Arabian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Taiwan;Asia;Oriental;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Uganda;Africa;Afrotropical;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;United States;North America;Nearctic;1911;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Crocidosema plebejana;Tortricidae;Hawaii;Oceania;Nearctic;1986;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Crocidosema plebejana;Tortricidae;US North American Islands;North America;Panamanian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;US Oceania Micronesia Islands;North America;Oceanina;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;US Oceania Micronesia Islands;Oceania;Oceanina;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Saint Vincent and the Grenadines;North America;Neotropical;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Samoa;Oceania;Oceanina;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;South Africa;Africa;Afrotropical;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Zimbabwe;Africa;Afrotropical;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema synneurota;Tortricidae;Galapagos;South America;Neotropical;;;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
